Name,FIFA_POS,Country
Fahad Al-Muwallad,FW,Saudia Arabia
Mohammad Al-Sahlawi,FW,Saudia Arabia
Osama Hawsawi,DF,Saudia Arabia
Yahya Al-Shehri,Midfielder,Saudia Arabia
Taisir Al-Jassim,Midfielder,Saudia Arabia
Salem Al-Dawsari,Midfielder,Saudia Arabia
Yasser Al-Shahrani,DF,Saudia Arabia
Salman Al-Faraj,Midfielder,Saudia Arabia
Yasser Al-Mosailem,GK,Saudia Arabia
Omar Hawsawi,DF,Saudia Arabia
Abdulmalek Al-Khaibri,Midfielder,Saudia Arabia
Abdullah Al-Mayouf,GK,Saudia Arabia
Motaz Hawsawi,DF,Saudia Arabia
Mansoor Al-Harbi,DF,Saudia Arabia
Housain Al-Moqahwi,Midfielder,Saudia Arabia
Abdullah Otayf,Midfielder,Saudia Arabia
Hattan Bahebri,Midfielder,Saudia Arabia
Mohamed Kanno,Midfielder,Saudia Arabia
Abdullah Al-Khaibari,Midfielder,Saudia Arabia
Muhannad Assiri,FW,Saudia Arabia
Mohammed Al-Owais,GK,Saudia Arabia
Ali Al-Bulaihi,DF,Saudia Arabia
Mohammed Al-Breik,DF,Saudia Arabia
Igor Akinfeev,GK,Russia
Artem Dzyuba,FW,Russia
Fyodor Smolov,FW,Russia
Alan Dzagoev,Midfielder,Russia
Sergei Ignashevich,DF,Russia
Yuri Zhirkov,Midfielder,Russia
Aleksandr Samedov,Midfielder,Russia
Aleksandr Golovin,Midfielder,Russia
Igor Smolnikov,DF,Russia
Mário Figueira Fernandes,DF,Russia
Aleksei Miranchuk,Midfielder,Russia
Denis Cheryshev,Midfielder,Russia
Roman Zobnin,Midfielder,Russia
Aleksandr Yerokhin,Midfielder,Russia
Vladimir Gabulov,GK,Russia
Vladimir Granat,DF,Russia
Andrei Semyonov,DF,Russia
Yury Gazinsky,Midfielder,Russia
Daler Kuzyayev,Midfielder,Russia
Fyodor Kudryashov,DF,Russia
Ilya Kutepov,DF,Russia
Andrey Lunyov,GK,Russia
Anton Miranchuk,Midfielder,Russia
