,index,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,year_played,PT_DIFF,FTR,ho_Rating_max,ho_Rating_min,ho_Rating_avg,ho_Age_max,ho_Age_min,ho_Age_avg,ho_Skill_Moves_max,ho_Skill_Moves_min,ho_Skill_Moves_avg,ho_Ball_Control_max,ho_Ball_Control_min,ho_Ball_Control_avg,ho_Dribbling_max,ho_Dribbling_min,ho_Dribbling_avg,ho_Marking_max,ho_Marking_min,ho_Marking_avg,ho_Sliding_Tackle_max,ho_Sliding_Tackle_min,ho_Sliding_Tackle_avg,ho_Standing_Tackle_max,ho_Standing_Tackle_min,ho_Standing_Tackle_avg,ho_Aggression_max,ho_Aggression_min,ho_Aggression_avg,ho_Reactions_max,ho_Reactions_min,ho_Reactions_avg,ho_Attacking_Position_max,ho_Attacking_Position_min,ho_Attacking_Position_avg,ho_Interceptions_max,ho_Interceptions_min,ho_Interceptions_avg,ho_Vision_max,ho_Vision_min,ho_Vision_avg,ho_Composure_max,ho_Composure_min,ho_Composure_avg,ho_Crossing_max,ho_Crossing_min,ho_Crossing_avg,ho_Short_Pass_max,ho_Short_Pass_min,ho_Short_Pass_avg,ho_Long_Pass_max,ho_Long_Pass_min,ho_Long_Pass_avg,ho_Acceleration_max,ho_Acceleration_min,ho_Acceleration_avg,ho_Speed_max,ho_Speed_min,ho_Speed_avg,ho_Stamina_max,ho_Stamina_min,ho_Stamina_avg,ho_Strength_max,ho_Strength_min,ho_Strength_avg,ho_Balance_max,ho_Balance_min,ho_Balance_avg,ho_Agility_max,ho_Agility_min,ho_Agility_avg,ho_Jumping_max,ho_Jumping_min,ho_Jumping_avg,ho_Heading_max,ho_Heading_min,ho_Heading_avg,ho_Shot_Power_max,ho_Shot_Power_min,ho_Shot_Power_avg,ho_Finishing_max,ho_Finishing_min,ho_Finishing_avg,ho_Long_Shots_max,ho_Long_Shots_min,ho_Long_Shots_avg,ho_Curve_max,ho_Curve_min,ho_Curve_avg,ho_Freekick_Accuracy_max,ho_Freekick_Accuracy_min,ho_Freekick_Accuracy_avg,ho_Penalties_max,ho_Penalties_min,ho_Penalties_avg,ho_Volleys_max,ho_Volleys_min,ho_Volleys_avg,ho_GK_Positioning_max,ho_GK_Positioning_min,ho_GK_Positioning_avg,ho_GK_Diving_max,ho_GK_Diving_min,ho_GK_Diving_avg,ho_GK_Kicking_max,ho_GK_Kicking_min,ho_GK_Kicking_avg,ho_GK_Handling_max,ho_GK_Handling_min,ho_GK_Handling_avg,ho_GK_Reflexes_max,ho_GK_Reflexes_min,ho_GK_Reflexes_avg,aw_Rating_max,aw_Rating_min,aw_Rating_avg,aw_Age_max,aw_Age_min,aw_Age_avg,aw_Skill_Moves_max,aw_Skill_Moves_min,aw_Skill_Moves_avg,aw_Ball_Control_max,aw_Ball_Control_min,aw_Ball_Control_avg,aw_Dribbling_max,aw_Dribbling_min,aw_Dribbling_avg,aw_Marking_max,aw_Marking_min,aw_Marking_avg,aw_Sliding_Tackle_max,aw_Sliding_Tackle_min,aw_Sliding_Tackle_avg,aw_Standing_Tackle_max,aw_Standing_Tackle_min,aw_Standing_Tackle_avg,aw_Aggression_max,aw_Aggression_min,aw_Aggression_avg,aw_Reactions_max,aw_Reactions_min,aw_Reactions_avg,aw_Attacking_Position_max,aw_Attacking_Position_min,aw_Attacking_Position_avg,aw_Interceptions_max,aw_Interceptions_min,aw_Interceptions_avg,aw_Vision_max,aw_Vision_min,aw_Vision_avg,aw_Composure_max,aw_Composure_min,aw_Composure_avg,aw_Crossing_max,aw_Crossing_min,aw_Crossing_avg,aw_Short_Pass_max,aw_Short_Pass_min,aw_Short_Pass_avg,aw_Long_Pass_max,aw_Long_Pass_min,aw_Long_Pass_avg,aw_Acceleration_max,aw_Acceleration_min,aw_Acceleration_avg,aw_Speed_max,aw_Speed_min,aw_Speed_avg,aw_Stamina_max,aw_Stamina_min,aw_Stamina_avg,aw_Strength_max,aw_Strength_min,aw_Strength_avg,aw_Balance_max,aw_Balance_min,aw_Balance_avg,aw_Agility_max,aw_Agility_min,aw_Agility_avg,aw_Jumping_max,aw_Jumping_min,aw_Jumping_avg,aw_Heading_max,aw_Heading_min,aw_Heading_avg,aw_Shot_Power_max,aw_Shot_Power_min,aw_Shot_Power_avg,aw_Finishing_max,aw_Finishing_min,aw_Finishing_avg,aw_Long_Shots_max,aw_Long_Shots_min,aw_Long_Shots_avg,aw_Curve_max,aw_Curve_min,aw_Curve_avg,aw_Freekick_Accuracy_max,aw_Freekick_Accuracy_min,aw_Freekick_Accuracy_avg,aw_Penalties_max,aw_Penalties_min,aw_Penalties_avg,aw_Volleys_max,aw_Volleys_min,aw_Volleys_avg,aw_GK_Positioning_max,aw_GK_Positioning_min,aw_GK_Positioning_avg,aw_GK_Diving_max,aw_GK_Diving_min,aw_GK_Diving_avg,aw_GK_Kicking_max,aw_GK_Kicking_min,aw_GK_Kicking_avg,aw_GK_Handling_max,aw_GK_Handling_min,aw_GK_Handling_avg,aw_GK_Reflexes_max,aw_GK_Reflexes_min,aw_GK_Reflexes_avg
0,30613,2009-01-23,Costa Rica,Panama,3,0,UNCAF Cup,Tegucigalpa,Honduras,True,2009,3,H,85,68,74.72727272727273,32,25,27.90909090909091,4,1,2.5454545454545454,78,19,64.27272727272727,79,16,59.36363636363637,76,12,58.81818181818182,81,14,57.81818181818182,78,14,58.72727272727273,94,32,70.0,82,66,72.0909090909091,76,16,54.45454545454545,77,20,60.54545454545455,75,36,58.54545454545455,81,48,65.0,76,11,53.09090909090909,78,30,64.45454545454545,79,37,62.0,89,54,71.54545454545455,88,53,71.0909090909091,86,39,71.9090909090909,94,55,70.63636363636364,82,31,65.9090909090909,85,39,66.81818181818181,83,65,75.18181818181819,76,11,56.72727272727273,82,21,62.81818181818182,75,15,47.45454545454545,79,13,49.27272727272727,72,11,51.72727272727273,69,15,46.18181818181818,77,25,49.90909090909091,72,11,47.81818181818182,80,6,17.636363636363637,87,8,18.363636363636363,72,7,16.727272727272727,82,7,17.818181818181817,85,7,19.818181818181817,72,62,67.57142857142857,32,25,29.142857142857142,4,2,2.5714285714285716,68,34,58.57142857142857,69,22,54.0,70,22,58.285714285714285,68,27,56.714285714285715,73,25,59.857142857142854,81,49,68.57142857142857,73,57,66.14285714285714,65,39,48.285714285714285,68,35,59.714285714285715,67,36,57.142857142857146,71,42,56.285714285714285,72,33,49.142857142857146,79,37,60.285714285714285,77,40,59.57142857142857,77,34,63.857142857142854,80,34,62.42857142857143,79,55,69.14285714285714,95,55,74.57142857142857,83,32,60.42857142857143,81,34,62.857142857142854,72,59,65.0,75,39,56.714285714285715,74,41,60.57142857142857,63,21,42.714285714285715,67,31,46.857142857142854,70,27,48.0,69,23,44.42857142857143,69,36,51.42857142857143,65,19,42.285714285714285,13,6,9.285714285714286,14,6,8.714285714285714,16,6,12.142857142857142,15,6,10.571428571428571,13,6,10.0
1,30629,2009-01-28,Mexico,Sweden,0,1,Friendly,Oakland,USA,True,2009,1,A,82,63,76.95,38,19,27.85,4,1,2.65,85,18,65.8,83,10,61.25,82,11,41.45,82,12,44.6,84,10,47.65,79,11,56.95,82,56,73.0,88,14,57.6,82,23,50.35,83,30,62.65,81,57,71.65,84,15,56.45,84,31,66.35,78,32,61.15,93,34,71.2,93,34,70.4,92,25,67.35,79,33,65.4,92,47,68.75,91,34,72.4,85,41,72.4,84,13,58.85,81,23,63.85,87,12,55.35,79,11,55.6,80,14,54.95,80,12,49.6,86,16,60.4,84,12,54.15,78,7,20.0,82,6,20.35,78,6,19.55,80,7,21.3,87,5,20.45,80,69,74.15,30,22,26.2,4,1,2.35,83,17,63.6,82,11,59.1,79,11,44.6,77,12,46.65,79,12,50.0,90,24,66.2,78,64,72.1,83,13,54.2,81,19,50.0,81,30,61.85,78,18,66.2,76,11,51.7,80,26,64.65,77,26,59.8,84,28,63.4,86,40,65.8,93,33,70.65,90,52,73.3,84,31,58.05,86,33,65.15,88,39,66.3,78,13,52.25,85,17,64.75,80,11,50.5,80,12,55.75,80,12,56.25,80,11,50.25,81,13,52.3,77,11,52.8,74,5,20.45,75,5,19.65,76,5,19.8,75,5,18.6,78,5,19.85
2,30638,2009-02-01,Costa Rica,Panama,0,0,UNCAF Cup,Tegucigalpa,Honduras,True,2009,0,T,85,68,74.72727272727273,32,25,27.90909090909091,4,1,2.5454545454545454,78,19,64.27272727272727,79,16,59.36363636363637,76,12,58.81818181818182,81,14,57.81818181818182,78,14,58.72727272727273,94,32,70.0,82,66,72.0909090909091,76,16,54.45454545454545,77,20,60.54545454545455,75,36,58.54545454545455,81,48,65.0,76,11,53.09090909090909,78,30,64.45454545454545,79,37,62.0,89,54,71.54545454545455,88,53,71.0909090909091,86,39,71.9090909090909,94,55,70.63636363636364,82,31,65.9090909090909,85,39,66.81818181818181,83,65,75.18181818181819,76,11,56.72727272727273,82,21,62.81818181818182,75,15,47.45454545454545,79,13,49.27272727272727,72,11,51.72727272727273,69,15,46.18181818181818,77,25,49.90909090909091,72,11,47.81818181818182,80,6,17.636363636363637,87,8,18.363636363636363,72,7,16.727272727272727,82,7,17.818181818181817,85,7,19.818181818181817,72,62,67.57142857142857,32,25,29.142857142857142,4,2,2.5714285714285716,68,34,58.57142857142857,69,22,54.0,70,22,58.285714285714285,68,27,56.714285714285715,73,25,59.857142857142854,81,49,68.57142857142857,73,57,66.14285714285714,65,39,48.285714285714285,68,35,59.714285714285715,67,36,57.142857142857146,71,42,56.285714285714285,72,33,49.142857142857146,79,37,60.285714285714285,77,40,59.57142857142857,77,34,63.857142857142854,80,34,62.42857142857143,79,55,69.14285714285714,95,55,74.57142857142857,83,32,60.42857142857143,81,34,62.857142857142854,72,59,65.0,75,39,56.714285714285715,74,41,60.57142857142857,63,21,42.714285714285715,67,31,46.857142857142854,70,27,48.0,69,23,44.42857142857143,69,36,51.42857142857143,65,19,42.285714285714285,13,6,9.285714285714286,14,6,8.714285714285714,16,6,12.142857142857142,15,6,10.571428571428571,13,6,10.0
3,30663,2009-02-11,France,Argentina,0,2,Friendly,Marseille,France,False,2009,2,A,88,70,81.33333333333333,32,19,24.571428571428573,5,1,2.5714285714285716,90,17,69.28571428571429,89,10,63.857142857142854,84,10,55.04761904761905,85,11,55.76190476190476,89,10,57.857142857142854,90,26,67.57142857142857,90,65,78.04761904761905,91,10,57.666666666666664,91,23,60.76190476190476,86,22,60.23809523809524,88,35,70.42857142857143,82,13,58.57142857142857,85,27,70.23809523809524,87,28,64.28571428571429,93,53,73.76190476190476,91,43,73.47619047619048,94,28,70.85714285714286,91,43,72.23809523809524,90,36,66.71428571428571,90,52,70.52380952380952,89,58,75.61904761904762,88,10,60.714285714285715,90,23,66.28571428571429,88,10,53.80952380952381,88,11,57.476190476190474,84,11,56.523809523809526,82,10,51.80952380952381,81,11,52.80952380952381,87,11,51.0,82,4,19.666666666666668,87,5,20.476190476190474,77,2,19.285714285714285,87,3,19.904761904761905,90,3,21.476190476190474,93,74,81.1304347826087,35,20,27.956521739130434,5,1,2.9130434782608696,95,19,72.26086956521739,97,12,66.73913043478261,82,12,45.869565217391305,83,12,49.52173913043478,84,11,51.73913043478261,89,18,65.56521739130434,95,64,77.82608695652173,93,7,61.26086956521739,90,19,51.69565217391305,90,38,68.6086956521739,94,28,71.78260869565217,88,12,63.69565217391305,88,24,70.73913043478261,87,21,66.73913043478261,92,30,73.95652173913044,90,32,73.34782608695652,89,25,73.08695652173913,89,45,70.34782608695652,95,33,71.1304347826087,91,29,73.34782608695652,90,44,70.65217391304348,88,11,59.26086956521739,87,20,67.8695652173913,95,10,58.130434782608695,88,14,61.82608695652174,89,14,63.65217391304348,90,11,58.17391304347826,84,12,55.0,88,12,56.17391304347826,78,5,19.565217391304348,80,5,18.608695652173914,71,4,17.391304347826086,76,4,18.565217391304348,80,5,19.608695652173914
4,30666,2009-02-11,Iran,Korea Republic,1,1,FIFA World Cup qualification,Teheran,Iran,False,2009,0,T,77,62,70.55555555555556,30,20,24.333333333333332,4,1,2.7777777777777777,76,15,66.33333333333333,79,7,65.55555555555556,63,7,33.44444444444444,61,14,38.666666666666664,70,14,40.111111111111114,68,26,55.77777777777778,75,58,68.55555555555556,75,6,60.0,66,14,42.44444444444444,73,44,62.44444444444444,77,34,59.44444444444444,75,12,58.111111111111114,74,24,60.888888888888886,66,18,52.111111111111114,88,22,72.66666666666667,91,22,72.66666666666667,82,21,62.44444444444444,74,41,64.55555555555556,88,36,68.0,82,44,70.66666666666667,90,52,66.44444444444444,76,13,56.22222222222222,78,14,62.44444444444444,79,8,60.111111111111114,76,5,58.77777777777778,67,13,54.22222222222222,69,14,48.44444444444444,71,11,53.888888888888886,72,6,56.666666666666664,58,6,15.333333333333334,63,6,15.666666666666666,59,6,17.0,60,7,16.0,63,7,17.11111111111111,74,67,70.5,30,26,28.0,2,2,2.0,65,50,57.5,69,55,62.0,70,66,68.0,69,66,67.5,72,70,71.0,79,63,71.0,74,70,72.0,73,52,62.5,63,56,59.5,62,62,62.0,60,60,60.0,75,75,75.0,67,64,65.5,66,61,63.5,87,81,84.0,90,53,71.5,90,90,90.0,71,60,65.5,80,64,72.0,77,70,73.5,87,86,86.5,58,44,51.0,72,53,62.5,55,24,39.5,66,58,62.0,76,59,67.5,73,56,64.5,70,45,57.5,45,24,34.5,10,7,8.5,16,11,13.5,13,6,9.5,15,11,13.0,15,15,15.0
5,30669,2009-02-11,Japan,Australia,0,0,FIFA World Cup qualification,Yokohama,Japan,False,2009,0,T,82,69,74.3529411764706,34,22,26.941176470588236,4,1,2.6470588235294117,85,12,67.17647058823529,88,8,64.88235294117646,76,9,45.23529411764706,78,11,45.11764705882353,79,12,46.94117647058823,80,16,52.64705882352941,84,58,72.58823529411765,83,11,59.05882352941177,73,12,48.05882352941177,81,25,61.35294117647059,81,26,65.52941176470588,78,12,55.0,84,17,67.0,82,28,59.1764705882353,87,34,73.05882352941177,84,32,69.47058823529412,85,30,71.0,78,34,59.294117647058826,92,46,72.23529411764706,95,34,74.88235294117646,90,54,72.17647058823529,74,11,53.529411764705884,84,15,59.64705882352941,76,8,49.94117647058823,82,6,53.05882352941177,85,13,56.705882352941174,84,10,51.11764705882353,78,15,53.0,75,9,51.529411764705884,71,5,15.470588235294118,72,3,17.41176470588235,75,5,17.470588235294116,73,3,16.647058823529413,74,3,17.058823529411764,78,57,70.15789473684211,37,18,26.63157894736842,4,1,2.4210526315789473,75,18,58.526315789473685,76,11,57.1578947368421,78,11,45.21052631578947,74,11,46.68421052631579,75,13,49.31578947368421,88,35,61.21052631578947,80,49,65.52631578947368,78,6,52.0,76,17,47.473684210526315,80,30,58.21052631578947,75,34,61.63157894736842,74,11,52.526315789473685,79,22,60.21052631578947,79,12,55.0,91,44,70.47368421052632,91,45,71.15789473684211,90,34,67.78947368421052,85,29,67.94736842105263,86,30,67.15789473684211,85,25,64.57894736842105,94,34,68.57894736842105,93,11,51.05263157894737,74,18,56.473684210526315,71,11,49.36842105263158,72,11,50.473684210526315,73,13,50.73684210526316,78,12,41.36842105263158,80,25,53.63157894736842,82,11,44.421052631578945,76,6,20.789473684210527,81,6,20.57894736842105,81,7,20.526315789473685,75,7,20.526315789473685,79,6,21.157894736842106
6,30686,2009-02-11,Spain,England,2,0,Friendly,Seville,Spain,False,2009,2,H,89,60,78.16666666666667,31,20,26.333333333333332,4,1,3.0,90,10,75.0,89,11,71.0,85,13,46.611111111111114,90,10,50.94444444444444,89,12,55.833333333333336,93,15,64.0,86,49,74.05555555555556,88,10,67.05555555555556,88,12,54.55555555555556,92,42,69.61111111111111,92,28,67.66666666666667,85,13,66.77777777777777,91,12,72.16666666666667,85,20,66.33333333333333,93,22,73.5,93,25,70.88888888888889,90,29,73.72222222222223,91,49,64.61111111111111,88,42,71.16666666666667,92,39,73.77777777777777,92,52,67.72222222222223,90,15,57.611111111111114,84,21,67.77777777777777,89,12,61.833333333333336,82,15,63.333333333333336,86,13,69.16666666666667,77,12,61.22222222222222,82,11,60.05555555555556,86,15,56.72222222222222,61,1,11.944444444444445,65,1,13.333333333333334,56,1,11.444444444444445,64,1,13.555555555555555,63,1,12.61111111111111,83,64,76.70833333333333,31,18,24.583333333333332,4,1,2.4583333333333335,84,21,66.70833333333333,86,13,64.54166666666667,83,12,54.041666666666664,84,11,55.708333333333336,85,13,57.666666666666664,92,23,64.91666666666667,84,52,71.91666666666667,84,13,59.625,83,17,56.833333333333336,82,22,64.625,81,27,67.45833333333333,84,11,58.041666666666664,85,28,68.625,83,33,61.916666666666664,94,43,73.04166666666667,93,41,73.625,93,32,75.25,88,50,67.70833333333333,91,40,68.79166666666667,90,29,68.29166666666667,85,57,70.125,86,11,58.541666666666664,86,29,65.16666666666667,83,14,54.625,74,13,56.666666666666664,84,11,53.875,77,12,47.958333333333336,76,22,55.25,76,12,51.458333333333336,79,5,19.5,81,5,18.916666666666668,85,6,17.791666666666668,83,6,19.208333333333332,85,6,18.541666666666668
7,30729,2009-03-28,Iran,Saudi Arabia,1,2,FIFA World Cup qualification,Teheran,Iran,False,2009,1,A,77,62,70.55555555555556,30,20,24.333333333333332,4,1,2.7777777777777777,76,15,66.33333333333333,79,7,65.55555555555556,63,7,33.44444444444444,61,14,38.666666666666664,70,14,40.111111111111114,68,26,55.77777777777778,75,58,68.55555555555556,75,6,60.0,66,14,42.44444444444444,73,44,62.44444444444444,77,34,59.44444444444444,75,12,58.111111111111114,74,24,60.888888888888886,66,18,52.111111111111114,88,22,72.66666666666667,91,22,72.66666666666667,82,21,62.44444444444444,74,41,64.55555555555556,88,36,68.0,82,44,70.66666666666667,90,52,66.44444444444444,76,13,56.22222222222222,78,14,62.44444444444444,79,8,60.111111111111114,76,5,58.77777777777778,67,13,54.22222222222222,69,14,48.44444444444444,71,11,53.888888888888886,72,6,56.666666666666664,58,6,15.333333333333334,63,6,15.666666666666666,59,6,17.0,60,7,16.0,63,7,17.11111111111111,50,50,50.0,50,50,50.0,50,50,50.0,50,50,50.0,50,50,50.0,50,50,50.0,50,50,50.0,50,50,50.0,50,50,50.0,50,50,50.0,50,50,50.0,50,50,50.0,50,50,50.0,50,50,50.0,50,50,50.0,50,50,50.0,50,50,50.0,50,50,50.0,50,50,50.0,50,50,50.0,50,50,50.0,50,50,50.0,50,50,50.0,50,50,50.0,50,50,50.0,50,50,50.0,50,50,50.0,50,50,50.0,50,50,50.0,50,50,50.0,50,50,50.0,50,50,50.0,50,50,50.0,50,50,50.0,50,50,50.0,50,50,50.0,50,50,50.0
8,30739,2009-03-28,Mexico,Costa Rica,2,0,FIFA World Cup qualification,Mexico City,Mexico,False,2009,2,H,82,63,76.95,38,19,27.85,4,1,2.65,85,18,65.8,83,10,61.25,82,11,41.45,82,12,44.6,84,10,47.65,79,11,56.95,82,56,73.0,88,14,57.6,82,23,50.35,83,30,62.65,81,57,71.65,84,15,56.45,84,31,66.35,78,32,61.15,93,34,71.2,93,34,70.4,92,25,67.35,79,33,65.4,92,47,68.75,91,34,72.4,85,41,72.4,84,13,58.85,81,23,63.85,87,12,55.35,79,11,55.6,80,14,54.95,80,12,49.6,86,16,60.4,84,12,54.15,78,7,20.0,82,6,20.35,78,6,19.55,80,7,21.3,87,5,20.45,85,68,74.72727272727273,32,25,27.90909090909091,4,1,2.5454545454545454,78,19,64.27272727272727,79,16,59.36363636363637,76,12,58.81818181818182,81,14,57.81818181818182,78,14,58.72727272727273,94,32,70.0,82,66,72.0909090909091,76,16,54.45454545454545,77,20,60.54545454545455,75,36,58.54545454545455,81,48,65.0,76,11,53.09090909090909,78,30,64.45454545454545,79,37,62.0,89,54,71.54545454545455,88,53,71.0909090909091,86,39,71.9090909090909,94,55,70.63636363636364,82,31,65.9090909090909,85,39,66.81818181818181,83,65,75.18181818181819,76,11,56.72727272727273,82,21,62.81818181818182,75,15,47.45454545454545,79,13,49.27272727272727,72,11,51.72727272727273,69,15,46.18181818181818,77,25,49.90909090909091,72,11,47.81818181818182,80,6,17.636363636363637,87,8,18.363636363636363,72,7,16.727272727272727,82,7,17.818181818181817,85,7,19.818181818181817
9,30747,2009-03-28,Portugal,Sweden,0,0,FIFA World Cup qualification,Porto,Portugal,False,2009,0,T,94,64,80.65,35,20,26.85,5,1,2.75,93,18,69.45,92,14,68.15,88,13,51.95,89,10,50.55,87,13,55.4,94,29,65.4,96,63,78.9,94,12,61.3,88,12,58.65,85,47,68.7,87,23,70.95,84,12,60.4,83,31,68.9,86,30,64.6,93,47,72.6,93,34,71.2,92,33,73.55,88,48,67.55,92,35,68.15,94,45,75.25,95,53,73.15,85,11,57.85,92,20,66.45,93,12,57.4,90,11,60.95,86,10,61.4,80,10,54.75,85,16,59.9,88,13,57.2,79,6,20.4,86,6,21.65,80,5,20.75,81,5,20.55,87,5,20.85,80,69,74.15,30,22,26.2,4,1,2.35,83,17,63.6,82,11,59.1,79,11,44.6,77,12,46.65,79,12,50.0,90,24,66.2,78,64,72.1,83,13,54.2,81,19,50.0,81,30,61.85,78,18,66.2,76,11,51.7,80,26,64.65,77,26,59.8,84,28,63.4,86,40,65.8,93,33,70.65,90,52,73.3,84,31,58.05,86,33,65.15,88,39,66.3,78,13,52.25,85,17,64.75,80,11,50.5,80,12,55.75,80,12,56.25,80,11,50.25,81,13,52.3,77,11,52.8,74,5,20.45,75,5,19.65,76,5,19.8,75,5,18.6,78,5,19.85
